INFO	2019/04/30 17:48:49 Starting server on :4000 
INFO	2019/05/09 11:32:26 Starting server on :4000 
INFO	2019/05/09 11:34:28 Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
Starting server on :4000 
INFO	 [::1]:50554 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:50554 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:50555 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:50556 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:50557 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:50558 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:50555 HTTP/1.1 GET /favicon.ico
INFO	 [::1]:50555 HTTP/1.1 POST /save/player
INFO	 [::1]:50555 HTTP/1.1 POST /save/player
INFO	 [::1]:50555 HTTP/1.1 POST /save/player
INFO	 [::1]:50555 HTTP/1.1 POST /save/player
INFO	 [::1]:50555 HTTP/1.1 POST /save/player
INFO	 [::1]:50555 HTTP/1.1 POST /save/player
INFO	 [::1]:50555 HTTP/1.1 GET /save/player
INFO	 [::1]:50555 HTTP/1.1 POST /save/player
INFO	 [::1]:50555 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:50555 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:51642 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:50555 HTTP/1.1 GET /x/lib/datatable/datatables.min.css
INFO	 [::1]:51644 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css
INFO	 [::1]:51645 HTTP/1.1 GET /x/lib/datatable/datatables.min.js
INFO	 [::1]:51646 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:51649 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.js
INFO	 [::1]:51642 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:50555 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:51644 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:50555 HTTP/1.1 GET /x/js/gameManager.js
INFO	 [::1]:51642 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:51645 HTTP/1.1 GET /x/lib/datatable/pdfmake.min.js.map
INFO	 [::1]:51645 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css.map
INFO	 [::1]:51645 HTTP/1.1 POST /update/player
INFO	 [::1]:51645 HTTP/1.1 POST /save/player
INFO	 [::1]:51645 HTTP/1.1 POST /save/player
Starting server on :4000 
INFO	 [::1]:51709 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:51709 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:51709 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:51710 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:51711 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:51712 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:51709 HTTP/1.1 POST /save/player
INFO	 [::1]:51709 HTTP/1.1 POST /save/player
INFO	 [::1]:51709 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:51712 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:51709 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:51711 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css
INFO	 [::1]:51709 HTTP/1.1 GET /x/lib/datatable/datatables.min.css
INFO	 [::1]:51710 HTTP/1.1 GET /x/lib/datatable/datatables.min.js
INFO	 [::1]:51718 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:51720 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.js
INFO	 [::1]:51712 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:51709 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:51711 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:51720 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:51712 HTTP/1.1 GET /x/js/gameManager.js
INFO	 [::1]:51710 HTTP/1.1 POST /save/player
Starting server on :4000 
INFO	 [::1]:51739 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:51739 HTTP/1.1 POST /save/player
INFO	 [::1]:51739 HTTP/1.1 POST /save/player
Starting server on :4000 
INFO	 [::1]:51773 HTTP/1.1 GET /x/espace_login.html
Starting server on :4000 
INFO	 [::1]:51789 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:51789 HTTP/1.1 POST /save/player
Starting server on :4000 
INFO	 [::1]:53574 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:53574 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:53574 HTTP/1.1 POST /save/player
INFO	 [::1]:53574 HTTP/1.1 POST /save/player
INFO	 [::1]:53574 HTTP/1.1 POST /save/player
INFO	 [::1]:53574 HTTP/1.1 POST /save/player
INFO	 [::1]:53574 HTTP/1.1 POST /save/player
INFO	 [::1]:53574 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:53574 HTTP/1.1 POST /save/player
INFO	 [::1]:53574 HTTP/1.1 POST /save/player
INFO	 [::1]:53574 HTTP/1.1 POST /save/player
INFO	 [::1]:53574 HTTP/1.1 POST /save/player
INFO	 [::1]:53574 HTTP/1.1 GET /x/css/espace_login.css
Starting server on :4000 
INFO	 [::1]:54039 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:54039 HTTP/1.1 POST /save/player
INFO	 [::1]:54039 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:54039 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:54040 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:54041 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:54042 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:54039 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:54039 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:54039 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:54042 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:54041 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:54040 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:54098 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:54098 HTTP/1.1 POST /save/player
INFO	 [::1]:54142 HTTP/1.1 POST /save/player
INFO	 [::1]:54142 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:54142 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:54144 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:54142 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css
INFO	 [::1]:54146 HTTP/1.1 GET /x/lib/datatable/datatables.min.css
INFO	 [::1]:54147 HTTP/1.1 GET /x/lib/datatable/datatables.min.js
INFO	 [::1]:54148 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:54149 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:54149 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.js
INFO	 [::1]:54144 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:54142 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:54146 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:54144 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:54142 HTTP/1.1 GET /x/js/gameManager.js
INFO	 [::1]:54146 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:54147 HTTP/1.1 POST /save/player
INFO	 [::1]:54147 HTTP/1.1 POST /update/player
INFO	 [::1]:54147 HTTP/1.1 POST /update/player
INFO	 [::1]:54147 HTTP/1.1 POST /update/player
INFO	 [::1]:54147 HTTP/1.1 GET /x/espace_login.html
Starting server on :4000 
INFO	 [::1]:54223 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:54223 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:54223 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:54224 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:54225 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:54226 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:54223 HTTP/1.1 POST /save/player
INFO	 [::1]:54223 HTTP/1.1 GET /x/html/espace_game.html
